Darija (Arabic),Darija (Arabizi),Arabic Standard,English
,,لنسمع تفسير توم بدايةً.,Let's hear Tom's explanation first.
,,دعنا ننتظر حتى يخف الزحام.,Let's wait until the crowd thins out.
,,دعني ألقي نظرة على الصورة.,Let me have a look at the picture.
,,دعني أنم عشر دقائق أخرى.,Let me sleep for another ten minutes.
,,جعلت أخي يصلح دراجتي.,I had my brother repair my bicycle.
,,تركنا القرار الأخير إليه.,We left the final decision to him.
,,مهمتي هي الإهتمام بالطفل.,Taking care of the baby is my job.
,,لقد تعاملت مع توم من قبل.,I've done business with Tom before.
,,هل سمح لك عمك أن تقود سيارته؟,Did your uncle let you drive his car?
,,من الأفضل لك أن تبدأ في أقرب فرصة ممكنة.,You'd better start as soon as possible.
,,من الأفضل أن تعيد كتابة هذه الجملة.,You should rewrite this sentence.
,,المؤتمر إنتهى قبل ساعتين.,The conference ended two hours ago.
,,انا خرجت مسرعا لارى ماذا حدث بالخارج,I rushed out to see what was going on.
,,فقدت زوجتي في حادث سير.,I lost my wife in a traffic accident.
,,عندما أخبرت توم بأني جائع، أخبرني بأنه جائع هو الآخر.,"When I told Tom that I was hungry, he said he was hungry, too."
,,حَيْنَ أكبر، أُريد أن أصبِحَ ملِكًا.,"When I grow up, I want to be a king."
,,"عندما سَمِعَ الأخبار, تحولَ شاحباً.","When he heard the news, he turned pale."
,,عندما تكون في روما تصرف كما يتصرف الرومان.,"When in Rome, do as the Romans do."
,,كيف كان موعدك عند الطّبيب؟,How was your doctor's appointment?
,,"كيف تقول ""وداعًا"" باللغة الألمانية؟","How do you say ""good bye"" in German?"
,,كيف الأحوال في سوق السمك؟,How is it going in the fish market?
,,لولا مساعدتك لفشل أبي.,"If it had not been for your help, my father would have failed."
,,لقد كنتُ معلمة لعامين.,I've been a teacher for two years.
,,لقد كنتُ مدرساً لمدة عامين.,I've been a teacher for two years.
,,لقد كنتُ معلماً لعامين.,I've been a teacher for two years.
,,كل شخص لديه ضعف وقوة.,Everyone has strengths and weaknesses.
,,كل شيء كان أفضل في الماضي.,Everything was better in the past.
,,أردت شراء لوحة من توم.,I wanted to buy a painting from Tom.
,,أردتُ أن أتأكد أنك ستأتي إلى هنا.,I needed to make sure you'd come here.
,,كان يجب عليك أن تقول الحقيقة لتوم.,You should've told Tom the truth.
,,كيوتو يزورها الكثير من السياح .,Kyoto is visited by many tourists.
,,جوابها لم يكن مفهوماً.,Her answer couldn't be understood.
,,فتّش المدرّس حقيبتي.,The teacher went through my purse.
,,تحتاج فرقتنا لرمز يميّزها.,Our band needs a distinctive logo.
,,,I'm sleepy
,,تظاهر بأنه محامٍ.,He pretended that he was a lawyer.
,,توقف الحصان و رفض أن يتحرك.,The horse stopped and wouldn't move.
,,كان الطقس جيدا حتى اليوم.,The weather has been good until today.
,,يوما الإثنين والثلاثاء القادمين عطلة.,Next Monday and Tuesday are holidays.
,,القرار بيدك الآن.,It is up to you to decide what to do.
,,عُثرت على ثلاث حثث في الكهف.,Three bodies were found in the cave.
,,إقتربت القطة ببطأ من الفأر.,The cat slowly approached the mouse.
,,أللقصّة نهاية سعيدة؟,Does the story have a happy ending?
,,وجهت الشرطة إليه تهمة ارتكاب جريمة قتل.,The police accused him of murder.
,,عليك أن تبدأ حالاً.,It is necessary for you to start at once.
,,يجب عليَ حفظ الكثير من كلمات السر.,I have to memorize a lot of passwords.
,,علينا تأجيل الاجتماع.,We'll have to postpone the meeting.
,,ينبغي لها أن تستمع إلى آراء الآخرين أكثر.,She should listen more to other people.
,,يجب أن تدرك بأننا لن نستطيع تقديم يد العون.,You must realize that I can't help you.
,,يجب أن تحاول أن تكون أكثر أدباً.,You should try to be more polite.
,,يجب أن يحضر الاجتماع أحدنا، إما أنا أو أنت.,Either you or I must attend the meeting.
,,نحتاج ان نتواصل مع بعضنا البعض.,We need to communicate with each other.
,,درس البارحة طوال الليل.,"Last night, he studied all night long."
,,يصاحب البرق الرعد عادة.,Lightning normally accompanies thunder.
,,عبرت الحافلة السياحية الحدود.,The tourist bus crossed the border.
,,ستأخذك هذه الحافلة إلى المطار.,This bus will take you to the airport.
,,استلم الجائزة أحد عشر طالباً.,Eleven students received the award.
,,البطاقة التي سحبتها حمراء، أليس كذلك؟,"The card you drew was a red, wasn't it?"
,,يزن الطرد أكثر من باوند.,The parcel weighs more than one pound.
,,هل رخصتك معك؟,Do you have your driver's license?
,,تبدأ الدراسة في أوروبا شهر سبتمبر.,School starts in September in Europe.
,,ستبدأ الدراسة بعد غد.,School begins the day after tomorrow.
,,أقلعت الطائرات النفاثة واحدة تلو الأخرى.,The jets took off one after another.
,,الولد الذي يغسل السيارة هو أخي.,The boy washing the car is my brother.
,,اصطاد الولد الطائر بالشبكة.,The boy captured the bird with a net.
,,هل اللغة الفرنسية أصعب من الإنجليزية؟,Is French more difficult than English?
,,صلصة غواكامولي هي صلصة مصنوعة من الأفوكادو.,Guacamole is a dip made from avocados.
,,لا طعام لمن لا يعمل.,"People who don't work, won't be fed."
,,ما يحتاجه حقاً هو وظيفة جيدة.,What he needs most is a good job.
,,جريمة توم التالية ستكون الأخيرة.,Tom's next crime will be his last.
,,نظْرتُهُ لا تسُرّ.,He has an unpleasant look in his eyes.
,,استمرت الخطبة ثلاثين دقيقة.,The speech lasted thirty minutes.
,,دامت الخطبة ثلاثين دقيقة.,The speech lasted thirty minutes.
,,هل المدرسة بعيدة عن منزلك؟,Is your school far from your home?
,,"أنا لو كنت غنياً, كنت أود أن أعطيكِ مال.","If I were rich, I'd give you money."
,,لولا حزام الأمان لما بقيت على قيد الحياة.,"If it hadn't been for the seatbelt, I wouldn't be alive today."
,,أتمنى لو أعيش قريباً من منزلك.,I wish I could live near your house.
,,كل ما عليك فعله هو إخبار توم بأن يرحل.,All you have to do is tell Tom to leave.
,,كل ما عليك فعله هو إخبار توم بأن يغادر.,All you have to do is tell Tom to leave.
,,أنا لا أريد أن أتحدث إلى توم الآن.,I don't want to talk to Tom right now.
,,لن أذهب إلى المدرسة اليوم.,I'm not going to go to school today.
,,لن أذهب للمدرسة يوم السبت.,I'm not going to school on Saturday.
,,لا تقلق. أنا سوف أعتني بها.,Don't worry. I'll take care of it.
,,لا تعتمد على والديك كثيراً.,Don't depend on your parents too much.
,,ألا تحس بالملل عندما تكون وحيداً؟,Don't you get bored when you're alone?
,,لا تقلق. إنهُ يعرف ما يفعلهُ.,Don't worry. He knows what he's doing.
,,لا تذكر خطتنا لأي أحد.,Don't mention our plan to anybody.
,,لا تقلق بشأن ما فعلته.,Don't worry about what you've done.
,,لا تنم والنوافذ مفتوحة.,Don't sleep with the windows open.
,,إنه لا يسكن في نفس الحي الذي أعيش فيه.,He doesn't live in my neighborhood.
,,ما يقوله ليس له أي معنى.,What he says does not make any sense.
,,هل تعرف إن كان سيحضر الحفل؟,Do you know if he's coming to the party?
,,هل تعلم من اشترى لوحتك؟,Do you know who bought your painting?
,,لا أعلم ما الذي سمعته عني.,I don't know what you heard about me.
,,لا أعرف أين توجد قفازات التزلج الخاصة بي.,I don't know where my ski gloves are.
,,لا أعرف أين توجد نظاراتي الشمسية,I don't know where my sunglasses are.
,,"هل تأذن لي بالدخول؟ ""نعم، بالطبع"".","May I come in? ""Yes, certainly."""
,,أيمكنك أن تأتي لأخذي من المحطة؟,Can you pick me up at the station?
,,"هل تأذنين لي بالدخول؟ ""نعم، بالطبع"".","May I come in? ""Yes, certainly."""
,,لا أستطيع تذكر اسمه الآن.,I can't think of his name just now.
,,لم يستطع فهم الجملة.,He couldn't understand the sentence.
,,لا أستطيع أن أفكر في مثال مناسب.,I can't think of a suitable example.
,,لم يبقَ شيء في الثلاجة.,Nothing remained in the refrigerator.
,,أهنّئك بمناسبة نجاحك.,I congratulate you on your success.
,,أهنّئك بنجاحك.,I congratulate you on your success.
,,أشك في أن يستطيع أحد فعل ذلك.,I don't think anybody could do that.
,,ليس واجب علينا فعل ذلك يوميا.,We don't have to do this every day.
